,bptf,cbfa2t3h,csf1r,dnmt3a,eif2b1,erg,ets1,ets2,etv6,fli1,gata1,gata2,gata3,gfi1,gfi1b,hhex,hoxa5,hoxa9,hoxb4,ikzf1,itga2b,kit,ldb1,lmo2,lyl1,mecom,meis1,mitf,mpl,myb,nfe2,nkx23,notch,pbx1,prdm16,procr,runx1,scl,sfpi1,sh2b3,smarcc1,tcf7,tet2,vwf
notch,-0.027218,-0.066032,-0.057014,0.0028076,-0.1137,0.068921,-0.011504,-0.029933,0.05112,0.011689,-0.1895,0.17923,0.1904,-0.054372,-0.074634,-0.011464,0.10095,0.069132,0.17733,-0.16884,0.0013702,-0.068253,0.045335,0.15972,0.051416,0.28265,0.1525,0.10176,0.32901,-0.20813,-0.092951,0.23868,0.7975,-0.12377,-0.11079,-0.11547,-0.057961,-0.026078,0.068479,0.13232,-0.11024,0.17608,0.078803,-0.096926
pbx1,-0.1147,-0.10285,-0.22568,-0.14252,-0.16187,0.051196,-0.054789,-0.137,-0.053619,0.10829,-0.25296,-0.033414,-0.050734,-0.14791,-0.1112,-0.15156,-0.097007,-0.12088,-0.11132,-0.18938,0.046948,-0.071796,-0.15874,-0.039804,-0.12255,0.0081779,0.18385,-0.15007,0.10713,-0.18171,-0.039819,-0.02392,-0.12377,0.81233,0.036417,-0.00041484,0.073062,-0.11015,0.083217,-0.059225,0.012764,-0.11387,-0.063853,0.046321
prdm16,-0.086504,-0.097209,-0.26912,-0.080897,-0.2088,0.028703,-0.073373,-0.043074,-0.10183,-0.00070195,-0.26433,0.054127,0.0073398,-0.16791,-0.10717,-0.12848,-0.027578,-0.087902,-0.070552,-0.17937,-0.15864,-0.039653,-0.1203,0.019106,-0.068409,0.22699,0.068692,-0.028886,0.22315,-0.27281,-0.10598,0.093925,-0.11079,0.036417,0.88502,0.12458,-0.03659,-0.18543,0.025471,-0.0058034,-0.058544,-0.13106,-0.097728,-0.033153
procr,-0.19385,-0.26247,-0.41931,-0.16124,-0.39961,0.03364,-0.062333,-0.16188,-0.23467,-0.11679,-0.53501,0.16388,0.17372,-0.1992,-0.25867,-0.18866,0.063955,-0.0059531,-0.0066959,-0.38938,-0.3601,-0.11842,-0.19094,0.092272,-0.057246,0.40129,0.10864,-0.031102,0.47071,-0.57423,-0.21569,0.36911,-0.11547,-0.00041484,0.12458,0.84775,-0.22395,-0.29713,0.19296,0.086173,-0.24609,-0.073307,-0.12309,-0.032074
runx1,0.11731,0.14201,0.12393,0.026916,0.13592,0.01749,-0.10655,0.06042,0.3193,0.19579,0.17157,-0.014316,-0.095672,0.01514,0.12628,0.063266,-0.10478,-0.089336,-0.05468,0.19268,0.16305,0.21932,0.022263,-0.029252,0.024027,-0.14975,0.12092,-0.0283,-0.172,0.3824,0.21638,-0.23315,-0.057961,0.073062,-0.03659,-0.22395,0.92739,0.070936,-0.021785,-0.11254,0.23866,-0.056805,0.10971,-0.18811
scl,0.0050378,0.028018,-0.0218,-0.058419,0.051519,-0.099507,0.052989,-0.060709,-0.036186,-0.094142,0.11805,-0.19469,-0.097657,-0.00108,0.07737,-0.042284,-0.075947,-0.046615,-0.10361,0.070756,-0.029548,-0.024577,-0.0068832,-0.07277,-0.041362,-0.21868,-0.13922,-0.16348,-0.27935,0.11912,0.031451,-0.21279,-0.026078,-0.11015,-0.18543,-0.29713,0.070936,0.79715,-0.068342,-0.034836,0.065613,-0.022328,-0.047351,-0.11101
sfpi1,-0.043362,-0.18082,0.012667,-0.047401,-0.17528,0.14051,-0.063922,-0.11938,0.17336,0.1393,-0.36569,0.072319,0.085673,0.0037306,-0.25135,-0.091054,0.0091466,0.059692,0.11446,-0.16586,0.043592,-0.030387,-0.094456,0.10839,0.015973,0.14371,0.34121,-0.022827,0.25825,-0.17022,-0.067921,0.17977,0.068479,0.083217,0.025471,0.19296,-0.021785,-0.068342,0.86079,0.095942,-0.055438,0.13129,0.071629,-0.18508
sh2b3,-0.087531,-0.14914,0.034808,-0.037182,-0.043269,-0.036753,0.069513,-0.045888,-0.092703,-0.1282,-0.14607,-0.087442,0.036121,-0.043834,-0.10772,-0.11163,0.0035106,0.044079,0.079624,-0.077226,-0.06422,-0.17602,0.016557,0.062457,0.020738,-0.024704,-0.009744,-0.05962,0.033666,-0.17813,-0.17687,0.14611,0.13232,-0.059225,-0.0058034,0.086173,-0.11254,-0.034836,0.095942,0.97793,-0.089736,0.20265,0.022427,-0.056778
smarcc1,0.13124,0.12562,0.07618,0.096639,0.21155,-0.08262,-0.11645,0.124,0.11998,0.078163,0.22896,-0.01755,-0.10946,0.013903,0.14589,0.071474,-0.097636,-0.079619,-0.062362,0.20437,0.1354,0.23538,0.080464,0.0051756,0.11671,-0.18295,-0.064534,-0.021222,-0.17704,0.31325,0.22951,-0.22166,-0.11024,0.012764,-0.058544,-0.24609,0.23866,0.065613,-0.055438,-0.089736,0.93933,0.012919,0.022148,-0.15969
tcf7,-0.072713,-0.1801,0.088646,0.021433,0.0024664,-0.081483,0.16412,-0.087263,-0.11587,-0.068791,-0.11937,-0.16479,0.0071413,0.022771,-0.14593,-0.13437,-0.015945,0.10037,0.027103,-0.083465,-0.012414,-0.20325,-0.013691,-0.032341,0.0058185,-0.12202,0.0034877,-0.10664,-0.073104,-0.098899,-0.2138,0.054994,0.17608,-0.11387,-0.13106,-0.073307,-0.056805,-0.022328,0.13129,0.20265,0.012919,0.9541,-0.014211,-0.087125
tet2,0.048677,-0.014361,0.13223,-0.0030652,0.01836,-0.039099,0.0028913,-0.015509,0.0097085,-0.018999,-0.041071,-0.12342,-0.085268,0.065857,-0.087759,0.002646,-0.084058,0.023299,0.0094742,0.055595,-0.074196,-0.013239,-0.023185,-0.066686,0.026303,-0.097705,0.0060467,-0.030206,-0.20369,0.069819,-0.026509,-0.034753,0.078803,-0.063853,-0.097728,-0.12309,0.10971,-0.047351,0.071629,0.022427,0.022148,-0.014211,0.99106,-0.17165
vwf,-0.14255,-0.2067,-0.21007,-0.098849,-0.14802,0.029211,0.089352,-0.039555,-0.19777,0.01985,-0.26186,-0.067823,-0.071672,-0.21918,-0.05271,-0.19068,-0.062059,-0.11737,-0.093391,-0.3434,-0.080954,-0.25654,-0.14596,-0.053599,-0.14995,0.055516,0.012785,-0.13987,0.076318,-0.3652,-0.21619,0.00084916,-0.096926,0.046321,-0.033153,-0.032074,-0.18811,-0.11101,-0.18508,-0.056778,-0.15969,-0.087125,-0.17165,0.72851
